id,name,neighbourhood_group_cleansed,neighbourhood_cleansed,room_type,price_num,availability_365,reviews_per_month,number_of_reviews,ghost_prob
52895785,"HDTV Room, Large Closet, 25 min to Manhattan #264",Queens,Ridgewood,Private room,41,365,0.06,1,0.33992946232408855
785601696900959100,Stylish Modern Private bedroom,Brooklyn,Williamsburg,Private room,86,325,0.03,1,0.3398438634366905
39916681,Quiet and Spacious spot on Prospect Park,Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,112,0,0.01,1,0.33983760669359314
870212853386092e3,Art-Filled Bed-Stuy Townhouse,Brooklyn,Bedford-Stuyvesant,Entire home/apt,280,364,0.03,1,0.3398023743765402
49089633,Lamartine Chelsea 3D,Manhattan,Chelsea,Private room,214,310,0.13,1,0.3397427818943981
818082696608058800,69-2A Modern 1BR Apartment Stylish & Fully Furnish,Manhattan,Lower East Side,Entire home/apt,215,350,1,1,0.3396140139108181
627430327536180400,Modern 2-bed condo with terrace in New York,Manhattan,Lower East Side,Entire home/apt,600,31,0.03,1,0.3396001980874603
838643680804220900,Newly Renovated 2 Bedrooms in Prime UES,Manhattan,Upper East Side,Entire home/apt,258,333,0.16,1,0.3395544493411753
1507561103321794800,45 West 81st street Studio,Manhattan,Upper West Side,Entire home/apt,120,350,1,1,0.3393009235075475
1116529065414290700,Comfortable Private Bedroom | Williamsburg,Brooklyn,Williamsburg,Private room,66,324,0.08,1,0.33883640083935523
30387916,"Blueground | Tribeca, great views & indoor pool",Manhattan,Tribeca,Entire home/apt,341,91,0.02,1,0.3388049606488614
1035516094065706400,73-710 New Studio Prime UWS Doorman Gym C Park,Manhattan,Upper West Side,Entire home/apt,253,357,0.28,1,0.3387547011577476
945140514192291700,Central Park West,Manhattan,Upper West Side,Entire home/apt,275,209,0.05,1,0.33846256518932033
1127618972927429100,The NYC Gateway,Manhattan,Midtown,Entire home/apt,320,336,0.19,1,0.3384093956817656
1273892061324035600,Sunny Corner Room in Heart of Washington Heights,Manhattan,Washington Heights,Private room,95,178,0.19,1,0.3383239850815093
866980963931403500,Upper E Side Spacious Studio!,Manhattan,Upper East Side,Entire home/apt,150,262,0.07,1,0.33808217329466744
1136788372396039800,Spacious Private Room in Brooklyn | Black Friday,Brooklyn,Bushwick,Private room,64,241,0.06,1,0.3380438084153912
44189839,Bright 2BR with beautiful water view,Manhattan,Kips Bay,Entire home/apt,317,337,0.02,1,0.3380297700371495
555610543409267200,NEW~Murray Hill~Park Ave Specious 4 Bedrooms apt~K,Manhattan,Midtown,Entire home/apt,350,365,0.35,1,0.3378908436722195
42023288,Clean Renovated Oasis Apt in Uptown Manhattan,Manhattan,Inwood,Entire home/apt,122,177,0.02,1,0.33778170901180377
1368905787355018800,"UES, Elevator & Doorman, Gym,",Manhattan,East Harlem,Entire home/apt,190,247,0.19,1,0.3377715473106756
958430408164791800,Subway 1 & A train take you to Midtown in 30 min,Manhattan,Washington Heights,Private room,45,60,0.08,1,0.33756063245513923
45581475,Authentic NYC One Bedroom Apartment on the UES,Manhattan,Upper East Side,Entire home/apt,255,301,0.04,1,0.3373311227888659
47885578,Peaceful and Modern Upper East Side One Bedroom,Manhattan,Upper East Side,Entire home/apt,255,301,0.19,1,0.3373311227888659
49730558,"Upper West Side 1 Bedroom, Near Central Park",Manhattan,Upper West Side,Entire home/apt,237,336,0.18,1,0.3372392960834213
1410167047871626800,1597-4 new studio prime UES WD walk 2 Central park,Manhattan,Upper East Side,Entire home/apt,237,354,0.58,1,0.33722408448297375
48210064,"Luxury building, balcony, gym, rooftop 3FL -#177",Brooklyn,Bushwick,Private room,39,365,0.07,1,0.3371441625957855
847388401932859100,Subway 191st is 3min walk,Manhattan,Washington Heights,Private room,46,60,0.04,1,0.3370493572000731
965709350570453200,"Blueground | Midtown W, gym, nr rockefeller center",Manhattan,Theater District,Entire home/apt,274,321,0.04,1,0.3370411478055159
1236158450250691e3,"Fully furnished, HDTV room #347 in Bushwick",Brooklyn,Bedford-Stuyvesant,Private room,76,90,0.08,1,0.3369297830337813
543635425943076800,Lovely 2 Bedroom Presidential Suite in Midtown NY,Manhattan,Midtown,Entire home/apt,800,286,0.04,1,0.3365448874886634
975533092656050300,Hosted/Shared Condo in Lower East Side,Manhattan,West Village,Entire home/apt,849,252,0.05,1,0.33654285413399065
1.4885135723522079e+18,Private Double Queen Suite in Brooklyn Brownstone,Brooklyn,Bedford-Stuyvesant,Entire home/apt,267,296,0.57,1,0.33643569036218196
1325202188867231700,Hotel escape from the bustling Times Square,Manhattan,Theater District,Private room,445,101,1,1,0.33593884172855026
590422201407835300,Modern 2-Bedrooms Apt in Murray Hill,Manhattan,Murray Hill,Entire home/apt,311,315,0.04,1,0.3357529777903325
54242006,Two Bed * Washer Dryer Steps to Central Park,Manhattan,Upper East Side,Entire home/apt,158,180,0.03,1,0.3355973751378567
1305023398903324400,3 Beds 2 Bath lovely apt near train,Queens,Glendale,Entire home/apt,201,365,0.34,1,0.33554851190392565
980015069757960200,Private bed Bronx pet friendly,Bronx,Morris Park,Private room,58,210,0.05,1,0.335440246774254
1273876665856413700,Private Room with Fantastic City Views,Manhattan,Washington Heights,Private room,82,327,0.53,1,0.33541605561085786
953648370950219300,Charming 1BR Suite | Private Entry |Yard| King Bed,Bronx,Schuylerville,Entire home/apt,119,365,0.23,1,0.33534788238243574
29760980,Downtown Brooklyn Loft Space Under The Bridge,Brooklyn,Vinegar Hill,Entire home/apt,298,365,0.01,1,0.3353422887989895
1153766722322961700,73-1503 Newly Reno Studio UWS Doorman Gym Laundry,Manhattan,Upper West Side,Entire home/apt,241,324,0.25,1,0.3353198212576762
1170382232743463400,73-410 Luxury 24 DM New Studio UWS Gym Laundry,Manhattan,Upper West Side,Entire home/apt,241,347,0.1,1,0.3353198212576762
49405833,Prime Bushwick Duplex with 14ft Ceiling #89,Brooklyn,Bushwick,Private room,47,365,0.02,1,0.3352875212559995
913227757411567400,Relaxing  Room in Williamsburg,Brooklyn,Bedford-Stuyvesant,Private room,150,365,0.03,1,0.3351007872642339
91364920384733e4,Cozy Room in South Williamsburg,Brooklyn,Bedford-Stuyvesant,Private room,150,365,0.03,1,0.3351007872642339
